철도운영기관명,선명,역명,역간거리(km),소요시간(초),전역,소요시간,역명_clean
네오트랜스주식회사,신분당선,논현,0.7,52.5,,52,논현
네오트랜스주식회사,신분당선,신논현,0.9,60.0,논현,60,신논현
네오트랜스주식회사,신분당선,강남,0.7,67.5,신논현,67,강남
네오트랜스주식회사,신분당선,양재(서초구청),1.5,112.5,강남,112,양재
네오트랜스주식회사,신분당선,양재시민의숲(매헌),1.6,120.0,양재(서초구청),120,양재시민의숲
네오트랜스주식회사,신분당선,청계산입구,2.8,217.5,양재시민의숲(매헌),217,청계산입구
네오트랜스주식회사,신분당선,판교(판교테크노밸리),8.2,615.0,청계산입구,615,판교
네오트랜스주식회사,신분당선,정자,3.1,232.5,판교(판교테크노밸리),232,정자
네오트랜스주식회사,신분당선,성복,1.7,127.5,정자,127,성복
네오트랜스주식회사,신분당선,상현,2.1,157.5,성복,157,상현
네오트랜스주식회사,신분당선,광교중앙(아주대),2.3,172.5,상현,172,광교중앙
네오트랜스주식회사,신분당선,광교(경기대),2.0,150.0,광교중앙(아주대),150,광교
네오트랜스주식회사,신분당선,신사,0.0,,광교(경기대),0,신사
네오트랜스주식회사,신분당선,미금(명실화대병원),1.8,135.0,신사,135,미금
네오트랜스주식회사,신분당선,동천,1.7,127.5,미금(명실화대병원),127,동천
네오트랜스주식회사,신분당선,수지구청,2.1,157.5,동천,157,수지구청
